# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	50750
#@/user_id	sync_config
bang wo 	幫我	c=61 d=0.224961 t=50750
bang wo ma 	幫我嗎	c=2 d=3.40111e-30 t=50750
bang zhu 	幫助	c=6 d=8.37978e-20 t=50750
bao 	保	c=1 d=2.13523e-42 t=50750
bao 	包	c=50 d=0.0780945 t=50750
bao 	報	c=2 d=4.58142e-53 t=50750
bao 	寶	c=6 d=1.1124e-05 t=50750
bao an 	保安	c=1 d=7.32129e-68 t=50750
bao an 	寶安	c=8 d=0.0895311 t=50750
bao an qu 	寶安區	c=1 d=2.4515e-20 t=50750
bao an tu shu guan 	寶安圖書館	c=2 d=0.99005 t=50750
bao biao 	報表	c=18 d=8.3003e-14 t=50750
bao che 	包車	c=1 d=1.508e-68 t=50750
bao cu 	包粗	c=1 d=1.15817e-51 t=50750
bao cun 	保存	c=34 d=6.15514e-06 t=50750
bao cuo 	報錯	c=129 d=0.93959 t=50750
bao gao 	報告	c=2 d=2.04273e-21 t=50750
bao gei ni 	包給你	c=1 d=1.42289e-61 t=50750
bao guo 	包裹	c=1 d=1.41685e-11 t=50750
bao han 	包含	c=2 d=0.157609 t=50750
bao han 	包涵	c=1 d=0.00423234 t=50750
bao he 	飽和	c=6 d=2.85853e-33 t=50750
bao kuo 	包括	c=5 d=3.56074e-29 t=50750
bao li 	暴力	c=3 d=1.05823e-57 t=50750
bao liu 	保留	c=7 d=1.72608e-10 t=50750
bao lu 	暴露	c=2 d=8.70543e-17 t=50750
bao shi jie 	保時捷	c=1 d=1.78811e-43 t=50750
bao shui 	報稅	c=1 d=2.67818e-31 t=50750
bao xian 	保險	c=3 d=0.000217133 t=50750
bao xiang 	包廂	c=3 d=9.05733e-42 t=50750
bao xiu 	保修	c=1 d=9.28059e-05 t=50750
bao yang 	保養	c=1 d=5.76128e-43 t=50750
bao zheng 	保證	c=2 d=3.51501e-24 t=50750
bei 	北	c=2 d=1.16904e-06 t=50750
bei 	被	c=16 d=0.0115662 t=50750
bei an 	備案	c=4 d=0.0100964 t=50750
bei dong 	被動	c=1 d=2.09658e-33 t=50750
bei fen 	備份	c=3 d=1.19162 t=50750
bei feng 	被封	c=1 d=2.89483e-05 t=50750
bei hai 	北海	c=18 d=0.0456298 t=50750
bei huo 	備貨	c=1 d=9.95521e-07 t=50750
bei jing 	北京	c=6 d=0.0017643 t=50750
bei jing 	背景	c=19 d=7.36222e-16 t=50750
bei jing se 	背景色	c=1 d=7.47349e-16 t=50750
bei jing tu 	背景圖	c=3 d=9.34704e-83 t=50750
bei ren 	被人	c=1 d=6.62592e-41 t=50750
bei zhe xie 	被這些	c=1 d=8.01375e-43 t=50750
bei zhu 	備註	c=12 d=0.000173991 t=50750
bei zi 	被子	c=2 d=1.53511e-05 t=50750
ben 	本	c=5 d=2.96398e-18 t=50750
ben di 	本地	c=51 d=1.89152 t=50750
ben dian 	本店	c=1 d=7.27138e-17 t=50750
ben jie ming 	本傑明	c=2 d=4.97077e-05 t=50750
ben jin 	本金	c=2 d=1.36594e-14 t=50750
ben kui 	奔潰	c=2 d=1.00505e-81 t=50750
ben lai 	本來	c=7 d=7.05972e-28 t=50750
ben shen 	本身	c=3 d=7.08823e-11 t=50750
ben teng 	奔騰	c=1 d=1.73526e-43 t=50750
bi 	嗶	c=1 d=5.7603e-41 t=50750
bi 	比	c=4 d=4.53044e-39 t=50750
bi 	畢	c=1 d=9.58798e-07 t=50750
bi guan 	闭馆	c=1 d=1.05964e-05 t=50750
bi hong bin 	畢宏斌	c=2 d=2.39396e-05 t=50750
bi ji 	筆記	c=2 d=4.63565e-15 t=50750
bi ji ben 	筆記本	c=2 d=3.9181e-31 t=50750
bi jiao 	比較	c=13 d=0.10435 t=50750
bi jiao mang 	比較忙	c=1 d=2.86691e-38 t=50750
bi li 	比例	c=4 d=2.18533e-13 t=50750
bi li 	臂力	c=1 d=6.29899e-41 t=50750
bi li bi li 	臂力臂力	c=1 d=5.70298e-41 t=50750
bi ni 	比你	c=2 d=2.65198e-33 t=50750
bi ru 	比如	c=9 d=6.30216e-11 t=50750
bi tian 	必填	c=2 d=3.87665e-86 t=50750
bi wo 	比我	c=2 d=3.26214e-79 t=50750
bi xu 	必須	c=8 d=1.60884e-06 t=50750
bi xu yao 	必須要	c=1 d=8.28032e-75 t=50750
bian 	變	c=9 d=0.00782838 t=50750
bian 	邊	c=4 d=2.63929e-06 t=50750
bian cheng 	編程	c=10 d=0.941991 t=50750
bian cheng 	變成	c=7 d=4.38759e-06 t=50750
bian dong 	變動	c=2 d=0.066365 t=50750
bian geng 	變更	c=1 d=1.79219e-11 t=50750
bian hao 	編號	c=2 d=2.25833e-25 t=50750
bian hua 	變化	c=3 d=1.39733e-10 t=50750
bian ji 	編輯	c=30 d=0.000317533 t=50750
bian ji qi 	編輯器	c=7 d=2.6202e-37 t=50750
bian kuang 	邊框	c=3 d=3.20091e-11 t=50750
bian le 	變了	c=2 d=5.65939e-09 t=50750
bian li 	遍歷	c=1 d=1.12884e-14 t=50750
bian liang 	變量	c=20 d=0.910894 t=50750
bian lu 	边炉	c=2 d=4.0301e-81 t=50750
bian ma 	編碼	c=18 d=1.81112e-17 t=50750
bian xie 	編寫	c=2 d=1.85737e-11 t=50750
bian yi 	編譯	c=3 d=6.40041e-16 t=50750
biao 	標	c=2 d=5.04331e-36 t=50750
biao 	表	c=6 d=2.09702e-17 t=50750
biao bao 	表報	c=2 d=6.20837e-63 t=50750
biao dan 	表單	c=24 d=4.42953e-05 t=50750
biao ge 	表格	c=12 d=0.00177315 t=50750
biao ji 	標記	c=1 d=1 t=50718
biao mian 	表面	c=1 d=0.008271 t=50750
biao qi 	標齊	c=0 d=5.14799e-14 t=50750
biao qi a an 	標齊啊安	c=1 d=5.17379e-13 t=50750
biao qian 	標籤	c=15 d=0.00178203 t=50750
biao shi 	標識	c=5 d=1.8876e-07 t=50750
biao shi 	表示	c=3 d=1.53271e-16 t=50750
biao ti 	標題	c=8 d=3.28139e-09 t=50750
biao zhi 	標誌	c=1 d=0.0042963 t=50750
biao zhu 	標註	c=1 d=5.57467e-38 t=50750
bie 	別	c=1 d=2.88913e-70 t=50750
bie de 	別的	c=1 d=1.89281e-36 t=50750
bie ren 	別人	c=1 d=6.72606e-41 t=50750
bie yong 	別用	c=1 d=0.00195963 t=50750
bin 	斌	c=3 d=9.76472e-15 t=50750
bin guan 	賓館	c=4 d=0.000104778 t=50750
bing 	並	c=2 d=2.03081e-11 t=50750
bing 	兵	c=1 d=1.07101e-13 t=50750
bing bang qiu 	兵旁球	c=1 d=1.1308e-05 t=50750
bing mei you 	並沒有	c=1 d=4.60126e-45 t=50750
bing qi lin 	冰淇淋	c=1 d=1.39504e-05 t=50750
bing qie 	並且	c=7 d=3.08207e-06 t=50750
bo 	播	c=3 d=1.89033e-51 t=50750
bo bao 	播報	c=1 d=8.35216e-59 t=50750
bo da 	撥打	c=1 d=3.60499e-86 t=50750
bo de 	博得	c=1 d=5.64623e-41 t=50750
bo fang qi 	播放器	c=1 d=3.6813e-09 t=50750
bo ji 	搏擊	c=2 d=7.06112e-05 t=50750
bo ke 	博客	c=2 d=0.00843808 t=50750
bo lang 	波浪	c=1 d=7.03946e-18 t=50750
bu 	不	c=33 d=0.120614 t=50750
bu 	步	c=1 d=6.30921e-53 t=50750
bu 	部	c=1 d=9.52333e-44 t=50750
bu ban 	補辦	c=1 d=7.15535e-63 t=50750
bu bao cuo 	不報錯	c=1 d=3.57166e-65 t=50750
bu bao han 	不包含	c=1 d=0.154124 t=50750
bu bao he 	不飽和	c=1 d=1.18285e-05 t=50750
bu bian 	不變	c=2 d=1.87589e-48 t=50750
bu cha 	不差	c=1 d=4.12758e-61 t=50750
bu cheng gong 	不成功	c=1 d=8.18094e-80 t=50750
bu chu 	不出	c=2 d=2.51613e-32 t=50750
bu chu lai 	不出來	c=12 d=4.11285e-19 t=50750
bu chu li 	不處理	c=1 d=2.82654e-77 t=50750
bu chuan 	不傳	c=3 d=9.33823e-19 t=50750
bu cun zai 	不存在	c=4 d=0.67032 t=50750
bu cuo 	不錯	c=9 d=0.995311 t=50750
bu da 	不大	c=2 d=5.65393e-57 t=50750
bu dai 	不帶	c=4 d=1.04561e-42 t=50750
bu dao 	不到	c=10 d=3.27291e-08 t=50750
bu diao 	不掉	c=1 d=3.83219e-11 t=50750
bu ding shi 	不定時	c=0 d=5.02329e-49 t=50750
bu dong 	不動	c=0 d=6.9323e-15 t=50750
bu dui 	不對	c=9 d=1.44498e-07 t=50750
bu duo 	不多	c=1 d=0.0332068 t=50750
bu fa 	不發	c=1 d=2.34403e-22 t=50750
bu fan hui 	不返回	c=1 d=1.15962e-07 t=50750
bu fang bian 	不方便	c=1 d=1.39116e-31 t=50750
bu fen 	部分	c=23 d=0.91866 t=50750
bu fu 	不服	c=1 d=1.40534e-62 t=50750
bu fu he 	不符合	c=1 d=9.56129e-32 t=50750
bu gai 	不改	c=1 d=7.94778e-34 t=50750
bu gai 	不該	c=1 d=9.98065e-37 t=50750
bu gao 	不搞	c=0 d=6.0287e-19 t=50750
bu gao le 	不搞了	c=1 d=6.05892e-18 t=50750
bu geng xin 	不更新	c=1 d=0.666977 t=50750
bu guan 	不管	c=2 d=3.62206e-24 t=50750
bu guo 	不過	c=18 d=0.763379 t=50750
bu guo qu 	不過去	c=3 d=2.01532e-80 t=50750
bu hao 	不好	c=7 d=1.78806e-11 t=50750
bu hao gai 	不好改	c=1 d=2.066e-66 t=50750
bu hao yi si 	不好意思	c=2 d=6.90594e-28 t=50750
bu hao zhao 	不好找	c=1 d=0.818731 t=50750
bu he 	不喝	c=1 d=1.94967e-90 t=50750
bu hui 	不會	c=17 d=1.34803e-07 t=50750
bu hui ba 	不會吧	c=1 d=4.14276e-16 t=50750
bu hui lai 	補回來	c=1 d=5.79804e-59 t=50750
bu huo 	捕獲	c=1 d=2.23974e-16 t=50750
bu huo 	補貨	c=1 d=2.22131e-07 t=50750
bu ji 	不急	c=2 d=7.34543e-40 t=50750
bu ji shi 	不及時	c=1 d=2.2094e-32 t=50750
bu jiao yan 	不校驗	c=1 d=4.73317e-54 t=50750
bu jie ji 	不解寄	c=1 d=1.64151e-66 t=50750
bu jin xing 	不進行	c=1 d=1.85338e-53 t=50750
bu ju 	佈局	c=1 d=8.46713e-14 t=50750
bu kai 	不開	c=1 d=1.07299e-64 t=50750
bu kan 	不看	c=2 d=1.78659e-33 t=50750
bu kao lv 	不考慮	c=1 d=1.39804e-89 t=50750
bu kao pu 	不靠譜	c=0 d=1.95106e-70 t=50750
bu ke 	不可	c=5 d=2.2111e-11 t=50750
bu ke neng 	不可能	c=1 d=8.41576e-60 t=50750
bu ke yong 	不可用	c=2 d=3.76411e-06 t=50750
bu la de 	布拉德	c=1 d=5.74268e-05 t=50750
bu le 	不了	c=38 d=0.956763 t=50750
bu li kai 	不離開	c=1 d=0.00275318 t=50750
bu man zu 	不滿足	c=1 d=8.21549e-12 t=50750
bu neng 	不能	c=41 d=0.0156116 t=50750
bu qi lai 	不起來	c=1 d=1.40998e-42 t=50750
bu qing chu 	不清楚	c=2 d=9.7091e-36 t=50750
bu quan 	不全	c=2 d=1.86852e-31 t=50750
bu quan 	補全	c=11 d=0.00382958 t=50750
bu que ding 	不確定	c=7 d=4.8926e-32 t=50750
